Year,Box office revenue in the United States and Canada from 1980 to 2021 (in billion U.S. dollars)
1980,1.66
1981,0.92
1982,3.01
1983,2.75
1984,3.1
1985,3.04
1986,3.1
1987,3.4
1988,3.55
1989,4.11
1990,4.36
1991,4.37
1992,4.56
1993,4.86
1994,5.1
1995,5.2
1996,5.65
1997,6.16
1998,6.73
1999,7.38
2000,7.51
2001,8.11
2002,9.17
2003,9.21
2004,9.37
2005,8.84
2006,9.21
2007,9.66
2008,9.63
2009,10.6
2010,10.57
2011,10.17
2012,10.82
2013,10.92
2014,10.36
2015,11.13
2016,11.38
2017,11.07
2018,11.89
2019,11.32
2020,2.1
2021,4.48
